taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
723;2016.12.10 18:15;2280;5,2;19,5;0;készpénz
7042;2016.12.04 17:30;900;2,5;11;2;bankkártya
5058;2016.12.03 20:45;180;0,8;5,25;0;készpénz
6523;2016.12.03 22:45;420;2;8;0;készpénz
2066;2016.12.15 20:30;240;0;6;1;bankkártya
5263;2016.12.29 11:00;0;0;3,25;0;készpénz
8044;2016.12.12 17:30;540;0,9;6,75;1,5;bankkártya
1886;2016.12.20 11:30;960;1,7;10,25;0;készpénz
2747;2016.12.23 20:15;180;0,3;4,25;5;bankkártya
4320;2016.12.07 11:30;240;0,8;5,5;1;bankkártya
6950;2016.12.15 19:30;720;0,4;7,5;3;bankkártya
8718;2016.12.07 15:45;420;0,9;6,25;0;készpénz
3062;2016.12.08 9:00;120;0,4;4,25;0;készpénz
8185;2016.12.16 9:30;900;1,7;9,75;1;bankkártya
8483;2016.12.31 16:15;3000;17;45,5;10;bankkártya
7197;2016.12.19 14:15;300;0,8;5,5;0;bankkártya
1412;2016.12.21 15:15;420;2,3;8,75;0;készpénz
7006;2016.12.03 18:15;1440;3;14,75;0;készpénz
4352;2016.12.05 15:30;900;0,5;22,25;7,85;bankkártya
1168;2016.12.27 12:15;420;1,5;7,25;0;készpénz
5867;2016.12.27 12:15;840;0,1;11,5;2,3;bankkártya
4446;2016.12.08 17:45;1260;3,1;13,5;2;bankkártya
3209;2016.12.09 16:00;420;1;6,5;0;készpénz
6213;2016.12.02 9:30;660;1;7,5;0;készpénz
7689;2016.12.13 14:45;420;0,6;5,75;2;bankkártya
7690;2016.12.22 15:15;960;1,2;9,25;0;készpénz
3217;2016.12.02 17:45;660;1,8;8,75;3;bankkártya
7489;2016.12.21 21:45;420;1,5;7,5;0;készpénz
4496;2016.12.04 0:00;480;1,3;6,75;1;bankkártya
4114;2016.12.15 21:15;1533;17,5;43,5;4;bankkártya
4938;2016.12.06 19:30;1260;0,2;13,75;0;készpénz
7540;2016.12.19 11:15;1440;9,3;25,75;0;készpénz
797;2016.12.30 9:45;420;1,8;7,5;0;készpénz
2940;2016.12.18 10:00;480;3,6;11,5;2,85;bankkártya
4866;2016.12.03 10:45;660;1,7;8,5;0;készpénz
6301;2016.12.19 6:45;2520;29,9;71,5;0;készpénz
1159;2016.12.01 0:15;180;0,4;4,25;2;bankkártya
3209;2016.12.18 4:45;960;5,3;16;3;bankkártya
6749;2016.12.14 16:15;360;0;6;0;készpénz
2863;2016.12.26 2:45;0;0;3,25;1;bankkártya
8054;2016.12.29 8:15;240;0,6;5;0;készpénz
2127;2016.12.05 13:30;540;2,2;9;0;készpénz
5114;2016.12.20 19:30;2040;0;32,25;8,05;bankkártya
6956;2016.12.21 14:30;360;0,7;5,5;0;készpénz
1347;2016.12.15 5:00;60;0;3,25;0;készpénz
229;2016.12.22 18:00;660;1,7;8,5;2;bankkártya
4174;2016.12.06 7:00;360;1,9;8;2;bankkártya
4999;2016.12.10 3:30;360;1;6;0;készpénz
6614;2016.12.03 21:45;480;1,4;7;2;bankkártya
2901;2016.12.06 20:45;1200;0;27,5;8,25;bankkártya
5564;2016.12.01 8:15;480;1,42;7,25;0;készpénz
4362;2016.12.17 17:45;1320;5,4;17,5;3,8;bankkártya
6113;2016.12.19 14:15;900;1,8;9,75;0;készpénz
3924;2016.12.12 16:45;420;1,6;7,75;2;bankkártya
4107;2016.12.13 16:00;180;0;5;0;készpénz
1483;2016.12.02 17:00;1140;6,4;19,5;7,05;bankkártya
2601;2016.12.03 12:15;420;1,2;9;0;készpénz
8583;2016.12.09 13:15;660;1,5;8,25;0;készpénz
118;2016.12.16 18:15;1380;1,5;11,5;0;készpénz
2486;2016.12.08 20:00;540;1,5;7,5;0;készpénz
6513;2016.12.04 2:45;360;0,1;7,5;1;bankkártya
8232;2016.12.23 0:30;540;0;12,25;0;készpénz
8596;2016.12.18 11:15;360;1;6,5;0;készpénz
3546;2016.12.21 16:00;360;0,9;6;1;bankkártya
5475;2016.12.07 10:45;240;0;5,25;0;készpénz
1460;2016.12.22 11:45;1740;0,1;15,75;0;készpénz
6820;2016.12.14 13:45;960;2;10,25;0;készpénz
7018;2016.12.14 16:15;540;1;6,5;2;bankkártya
6902;2016.12.20 2:45;300;0;6,25;2;bankkártya
5117;2016.12.05 0:30;1380;0,5;23;5;bankkártya
50;2016.12.09 16:15;300;0;5,5;3;bankkártya
5029;2016.12.08 19:00;660;0;7;0;készpénz
5406;2016.12.23 9:30;360;0;6;0;készpénz
4119;2016.12.31 19:45;1440;0;18;0;készpénz
3617;2016.12.05 18:15;2640;10,7;32,5;7,3;bankkártya
2236;2016.12.09 17:30;480;0,5;5,75;0;készpénz
3387;2016.12.04 1:15;660;3,9;12,5;3;bankkártya
1210;2016.12.04 17:45;780;3,3;11,75;0;készpénz
6717;2016.12.03 4:00;120;0,4;4,25;2;bankkártya
1270;2016.12.15 20:00;420;0,9;6;2;bankkártya
827;2016.12.10 17:30;900;0,9;8;0;készpénz
2147;2016.12.24 1:15;300;1,1;6;4;bankkártya
